date,time,timezone,tweet
2014-06-27,23:44:11,900,ドイツ代表　シュバインシュタイガー、元ナイジェリア代表　カヌの誕生日は一緒で、8月1日。http://t.co/VFWo5hOcnl
2014-06-27,23:20:18,900,「アルゼンチンＤＦたちの危なっかしいプレーを見る限り、メッシは優勝の夢を諦めたほうがいいだろう」と上から目線で言っているのはナイジェリア代表のオデムウィンギー選手
2014-06-27,22:31:49,900,ロッベンの走り込みがサッカー史上最速とか行ってたけど本当？元ナイジェリア代表のババンギダの方が速かったと思うのだが…100メートル9秒台！オリンピック選手としても出れる走力だし。
2014-06-27,21:44:21,900,"ナイジェリア代表じゃねえんだよ。
ナイジェリアスーパーイーグルスだって言ってんだろ。"
2014-06-27,20:45:07,900,左ELLYと右ナイジェリア代表FWのヴィクターモーゼスめっちゃ似てるよね笑 http://t.co/wUB7CY8EfR
2014-06-27,20:39:13,900,"すごいな
RT @MasShibata: ナイジェリアのジャーナリストによると、同国サッカー協会関係者がお金の調達にナイジェリアに戻っているそうです。決勝トーナメントに進出したナイジェリア代表は練習をキャンセルし、報奨金の支払いについての会議を開いたそうです。"
2014-06-27,20:20:43,900,@Yuumi_Shida サケトバってカタカナで書くとナイジェリア代表って感じだよね！
2014-06-27,20:02:36,900,"これから、PS4のFIFA14のW杯特番7時間位出演します！
ニコニコ生放送のFIFA14プレゼンツの番組です！是非是非ご覧ください！

ちなみに、僕はナイジェリア代表です！よろしくです！見てね！

http://t.co/ulSZAYgX8c で！"
2014-06-27,19:49:00,900,ナイジェリアのジャーナリストによると、同国サッカー協会関係者がお金の調達にナイジェリアに戻っているそうです。決勝トーナメントに進出したナイジェリア代表は練習をキャンセルし、報奨金の支払いについての会議を開いたそうです。グローボが報じています。
2014-06-27,19:02:49,900,[17]    かつてＦＣバルセロナでプレーした元ナイジェリア代表のＭＦ →      アムニケ
2014-06-27,17:58:52,900,エネアマって2002にはナイジェリア代表にいたよな。っていうか終始笑顔でなんか気持ちよかった。
2014-06-27,16:22:52,900,"ボリスタさん痛恨のミス‼︎‼︎
ナイジェリア代表アメオビさん、5歳。 http://t.co/G7s0voZMnH"
2014-06-27,13:19:15,900,それでいて決定機何度も止めてたし味方が負傷したらきりっとした顔でボールをピッチ外にだしてたしなあ＞エネヤマ。母国のPV会場がイスラム過激派テロで爆発してるなかで、イスラム教徒との混合チームでプレーするナイジェリア代表の心中は報道されないのだろうか。
2014-06-27,11:50:02,900,WC2014のGK、ナイジェリア代表エネアマ、コスタリカ代表ナバス、メキシコ代表オチョア、すごい活躍してるなー。決勝トーナメントでオランダｘメキシコがあるから、オランダ代表がオチョアからゴールを奪えるか心配です。オランダ代表優勝してほしい！ #FIFAWorldCupBrazil
2014-06-27,10:23:06,900,"【キュ】ニューカッスル・ユナイテッドに所属するナイジェリア代表ＦＷ→アメオビ
( 'ｰ`)＜イギリス国籍も持ってるけど召集には程遠く。ネタ選手としての輝きは一流クラスだったんだけどね…
ちなみにもうニューカッスルは退団してるよ("
2014-06-27,00:25:01,900,"【ブログ更新】Jリーグブログに「【14】翼を失った""大鷲""。16年の成長と回帰。」を書きました。今回は“スーパーイーグルス”こと、ナイジェリア代表の栄枯盛衰にまつわるお話です。試合前の暇つぶしにどうぞ！　（土屋）　http://t.co/h38JtJ51Fq"
2014-06-27,00:17:59,900,ナイジェリア代表のユニが南海ホークス感ハンパない。
2014-06-26,23:44:39,900,"一応あげておく。ナイジェリア代表GKエニュアマ。

メッシのフリーキックを受けて。 http://t.co/Gu1JAn8Yn3"
2014-06-26,22:56:27,900,ナイジェリア代表監督が｢メッシはどこかの惑星から来た。恐らく木星だろう。｣という発言をしているが、ということはベイスターズの井納さんとメッシは仲間ということになるのだろう。宇宙人仲間。
2014-06-26,22:54:22,900,"ナイジェリア代表の監督がメッシを木星と呼んだ…
メッシ、セーラージュピター説？ #tvasahi"
2014-06-26,22:54:01,900,"ナイジェリア代表ケシ監督
メッシはどこか他の惑星から来ているんだろう。"
2014-06-26,22:54:01,900,ナイジェリア代表監督曰く、「メッシはどこか他の惑星から来ているんだろう。私が思うに、木星だと思う」
2014-06-26,21:49:32,900,ナイジェリア代表は2位通過！！
2014-06-26,21:48:44,900,ブラジルW杯、アルゼンチン代表はナイジェリア代表に勝利！！□2得点で3戦連続MOM選出のメッシ「夢に向かって戦い続ける」 http://t.co/AdzejLtqfS @SoccerKingJPさんから
2014-06-26,20:39:29,900,"【ブログ更新】「【14】翼を失った""大鷲""。16年の成長と回帰。」を書きました。W杯コラム第14弾は、“スーパーイーグルス”こと、ナイジェリア代表の栄枯盛衰にまつわるお話です。これを書ける日が来るとは…（涙）　お時間ある方は是非！　http://t.co/lTxpHfnwfU"
2014-06-26,19:58:28,900,チェルシーがフェネルバフチェ所属のナイジェリア代表FWエマヌエル・エメニケ(27)獲得に1600万￡を用意。トルコの報道によるとモウリーニョ監督がエメニケを高く評価しておりジエゴ・コスタ＋のオプションに望んでいるとの事。 http://t.co/xamKhGZV4j
2014-06-26,19:34:53,900,@80hachinohe 「足が長いウチェボ」は元VVVですよー！あと、途中交代で入るヌウォフォルはレンタルでヘーレンフェーンにいるけどまだVVVが保有権持ってます。なによりムサは吉田ともチームメイトでした。以上、万人が知って得するナイジェリア代表情報でした。
2014-06-26,18:20:46,900,昨日味方のシュートが腕に直撃したナイジェリア代表選手が骨折してたと聞いて震えてる
2014-06-26,17:52:30,900,http://t.co/05uNpal4rJ【フットボールチャンネル | サッカー情報満載！】【グループF　ナイジェリア代表vsアルゼンチン代表戦の美女サポーターたち】
2014-06-26,17:38:30,900,【フットボールチャンネル】グループF　ナイジェリア代表vsアルゼンチン代表戦の美女サポーターたち http://t.co/Vvv26YSoOh
2014-06-26,15:18:04,900,試合速報！ 【動画】［ブラジルW杯］ナイジェリア 2-3 アルゼンチン（2014/06/25） - FIFAブラジルワールドカップ2014・グループF第3戦、ナイジェリア代表vsアルゼンチン代表戦のハイライト動画です。�... http://t.co/ZHECLgrpv4
2014-06-26,14:03:07,900,新しい記事を更新: ナイジェリア代表 vs アルゼンチン代表　ワールドカップ2014 ハイライト動画 http://t.co/XIOZ22SSPN
2014-06-26,13:38:13,900,ナイジェリア代表に関するコラムを掲載しました。昨年のネーションズカップで優勝するなど再びアフリカの雄として、躍進しそうな勢いを見せています。http://t.co/U6zDjZTXUM  #W杯 #ナイジェリア対アルゼンチン
2014-06-26,12:40:48,900,"@0712Busu 
たしかあなた
ナイジェリア代表かなんかで出場しとったろ？"
2014-06-26,12:27:37,900,【ニュース】 決勝弾を奪ったロホ「夢のようなだ」: ▽アルゼンチン代表DFマルコス・ロホが、25日に行われたブラジル・ワールドカップのグループF第3節、ナイジェリア代表戦で奪った決勝ゴールに喜びを示している。▽FWリオネ... http://t.co/DwjlrWBKvb
2014-06-26,12:13:50,900,ドイツ代表　シュバインシュタイガー、元ナイジェリア代表　カヌの誕生日は一緒で、8月1日。http://t.co/VFWo5hOcnl
2014-06-26,11:55:07,900,昨日のナイジェリア代表のキーパーのエニェアマの笑顔が素敵すぎてわろたw
2014-06-26,11:52:19,900,ナイジェリア代表、グループステージ突破の詳細はこちら http://t.co/DoVoZiILTQ #CFCinBrazil
2014-06-26,11:50:36,900,ナイジェリア代表は健闘。アルゼンチン選手は意外とファウル以上に見えるんだけどな。嫌な気持ちになるからやめて。
2014-06-26,11:46:41,900,【ニュース】 さらなる改善を求めるサベーラ 「良くなっているが…」: アルゼンチン代表は25日、ワールドカップ(W杯)・グループF最終節でナイジェリア代表と対戦し、3-2と勝利を収めた。アレハンドロ・サベーラ監督は、守備... http://t.co/kmXdmu8Bmm
2014-06-26,09:25:01,900,ミケル、@omeruo22 、@VictorMoses おめでとう！ナイジェリア代表決勝トーナメント進出！ #CFCinBrazil http://t.co/slZOaK6Q03
2014-06-26,09:16:20,900,フランス代表 vs ナイジェリア代表 - http://t.co/BN7s34leLz
2014-06-26,08:36:17,900,国がこんな状態でも一生懸命戦ったナイジェリア代表すごい RT @nhk_news: ナイジェリアでＷ杯試合前に爆発 http://t.co/4F2rd8Tz3j #nhk_news
2014-06-26,08:09:51,900,"ナイジェリア代表 vs アルゼンチン代表 [ワールドカップ2014・GL] | サッカー動画速報 http://t.co/p4ExOQpKca
メッシがＦＫも決めて２得点、３試合連続得点で合計４点。
得点王取れるんじゃない？"
2014-06-26,08:03:46,900,"ナイジェリア代表ケシ監督
「アルゼンチン代表は素晴らしい選手たちで構成されているが、メッシは別格。まるで木星から来た異星人のようだ」

【メッシ得点記録】
バルセロナ：466試合381得点
アルゼンチン：91試合44得点

なるほど、これは異星人だ。"
2014-06-26,07:41:11,900,2014年06月25日にエスタジオ・ベイラ＝リオ（ポルト・アレグレ）で行なわれた「2014 FIFAワールドカップ ブラジル大会」グループF第3節、ナイジェリア代表vsアルゼンチン代表のYouTube速報動画です。 http://t.co/k4Rvax2MRI
2014-06-26,07:18:38,900,【ニュース】 メッシ「改善を続けなければならない」: アルゼンチン代表は25日、ワールドカップ(W杯)・グループF最終節でナイジェリア代表と対戦し、3-2と勝利を収めた。2ゴールを挙げたFWリオネル・メッシは、チームのプ... http://t.co/c9afYGpcFc
2014-06-26,05:54:21,900,[FIFAワールドカップ グループリーグ 2014] ナイジェリア代表 vs アルゼンチン代表 http://t.co/JfE51lGIJb
2014-06-26,05:29:50,900,（サッカー動画速報） [FIFAワールドカップ グループリーグ 2014] ナイジェリア代表 vs アルゼンチン代表 http://t.co/ZLkmFcHrWqサッカー好きな人RT
2014-06-26,05:27:13,900,[FIFAワールドカップ グループリーグ 2014] ナイジェリア代表 vs アルゼンチン代表 http://t.co/jcuBSKSfjF
2014-06-26,04:00:46,900,@chouzetsu0611 じゃあ30円分のナイジェリア代表情報ね　歴代監督にはトルシエと元西ドイツのDFフォクツが就任したことがあります。ちなみにフォクツは現在アゼルバイジャン代表監督、トルシエは中国のどっかにいます。
2014-06-26,03:42:04,900,"アルゼンチン、ナイジェリアにメッシのFKからのゴールなど3-2で勝利、ナイジェリアは敗戦もGL突破【動画】: ナイジェリア代表
ムサ（前半4分）
ムサ（後半2分）

アルゼンチン代表
メッシ（... http://t.co/VfbOiph1YW #サッカー"
2014-06-26,03:30:44,900,"【ニュース】 メッシが3戦4発! 3連勝のアルゼンチンが首位通過を決める《ブラジル・ワールドカップ》: ▽ブラジル・ワールドカップのグループF最終節、ナイジェリア代表vsアルゼンチン代表が25日にポルト・アレグレのエスタ... http://t.co/YxtGHUXNOJ"""
2014-06-26,03:28:47,900,サッカー最速動画＆ニュース速報 : 【動画】2014-06-25 ナイジェリア代表 vs アルゼンチン代表　[2014 FIFAワールドカップ　グループF] http://t.co/eMlrF1OEYp
2014-06-26,03:28:00,900,【ニュース】 メッシが3戦4発! 3連勝のアルゼンチンが首位通過を決める《ブラジル・ワールドカップ》: ▽ブラジル・ワールドカップのグループF最終節、ナイジェリア代表vsアルゼンチン代表が25日にポルト・アレグレのエスタ... http://t.co/ujjzu5vnI7
2014-06-26,03:13:49,900,メッシが2得点 1位で決勝Tへ: * * ナイジェリア代表ＦＷエメニケ（左）とアルゼンチン代表ＦＷメッシ＝ゲッティ(毎日新聞) グループF第3節 ナイジェリア vs. アルゼンチン(スポーツナビ)... http://t.co/PuQnkC5Nxf
2014-06-26,03:12:44,900,【ワールドカップ2014グループF】ナイジェリア代表2-3アルゼンチン代表　アルゼンチン、メッシ２得点で１位通過　 　http://t.co/s93zeUJoN4
2014-06-26,03:07:28,900,"ワールドカップ。ナイジェリア代表が決勝トーナメントに進出できてなにより(^o^)
エニュアマすげぃぜ(*^o^*)"
2014-06-26,03:03:57,900,"アルゼンチン、ナイジェリアにメッシのFKからのゴールなど3-2で勝利、ナイジェリアは敗戦もGL突破【動画】 - http://t.co/kOBrjHKeSv 

ナイジェリア代表
ムサ（前半4分）
ムサ（後半2分）

アルゼンチン代表
メッシ（前半3分）
メッシ（前半46"
2014-06-26,02:56:40,900,W杯ブラジル大会 1次リーグ グループF アルゼンチン代表対ナイジェリア代表 3対2 アルゼンチン代表勝利 アルゼンチン代表勝点3獲得 勝点9  アルゼンチン代表 決勝トーナメント1位通過  ナイジェリア代表 決勝トーナメント2位通過
2014-06-26,02:56:00,900,"FT アルゼンチン代表 3-2 ナイジェリア代表
メッシの2ゴール含む活躍で勝利したが ヒヤヒヤものだった。#worldcup2014"
2014-06-26,02:55:08,900,裏カード、ボスニア・ヘルツェゴビナがイランを下したのでナイジェリア代表、アルゼンチン代表に敗れるもグループリーグ突破！ありがとうボスニア・ヘルツェゴビナ！！
2014-06-26,02:53:58,900,"【試合終了】
2014 FIFA World Cup : Group F
ナイジェリア代表 2 - 3 アルゼンチン代表
ボスニア・ヘルツェゴビナ代表 3 - 1 イラン代表
#NGA #ARG #NGAARG #BIH #IRN #BIHIRN #WorldCup"""
2014-06-26,02:53:34,900,"【試合終了】
2014 FIFA World Cup : Group F
ナイジェリア代表 2 - 3 アルゼンチン代表
ボスニア・ヘルツェゴビナ代表 3 - 1 イラン代表
#NGA #ARG #NGAARG #BIH #IRN #BIHIRN #WorldCup"
2014-06-26,02:51:03,900,【ババトゥンデ】ナイジェリア代表の２３人も決定 http://t.co/3Mx7SBrl1K
2014-06-26,02:50:09,900,"【後半45分経過】AT 4分
2014 FIFA World Cup : Group F
ナイジェリア代表 2 - 3 アルゼンチン代表
#NGA #ARG #NGAARG #WorldCup"
2014-06-26,02:45:55,900,多分、俺がナイジェリア代表に居ても若干色薄いなくらいで気づかれない自身ある。
2014-06-26,02:42:44,900,"【後半38分経過】
2014 FIFA World Cup : Group F
ナイジェリア代表 2 - 3 アルゼンチン代表
ボスニア・ヘルツェゴビナ代表 3 - 1 イラン代表
#NGA #ARG #NGAARG #BIH #IRN #BIHIRN #WorldCup"
2014-06-26,02:41:17,900,"【後半37分経過】
2014 FIFA World Cup : Group F
ナイジェリア代表 2 - 3 アルゼンチン代表
ボスニア・ヘルツェゴビナ代表 2 - 1 イラン代表
#NGA #ARG #NGAARG #BIH #IRN #BIHIRN #WorldCup"
2014-06-26,02:34:37,900,"【後半30分経過】
2014 FIFA World Cup : Group F
ナイジェリア代表 2 - 3 アルゼンチン代表
ボスニア・ヘルツェゴビナ代表 2 - 0 イラン代表
#NGA #ARG #NGAARG #BIH #IRN #BIHIRN #WorldCup"
2014-06-26,02:34:29,900,"オコチャTシャツ＋ナイジェリアカラーの南アW杯グラスを持って見てる
ナイジェリア代表ユニホーム2002 はまた自宅探索する"
2014-06-26,02:34:14,900,速報 メッシ2得点で後半へ: * * ナイジェリア代表ＦＷエメニケ（左）とアルゼンチン代表ＦＷメッシ＝ゲッティ(毎日新聞) グループF第3節 ナイジェリア vs. アルゼンチン(スポーツナビ) ◆リアルタイムデータとみんなの声... http://t.co/4E942ClsDo
2014-06-26,02:26:25,900,"その昔、ウイニングイレブンのマスターリーグでナイジェリア代表のババンギダを獲得していたなー。わかる人いるかなー。
だって足が早いから使いやすいんだもん。

ウイニングイレブンをまた人とやってバカ騒ぎしたい。
三國無双もやりたいな。"
2014-06-26,02:26:04,900,ナイジェリア代表といったらオコチャのあのトリッキーなプレーが好きだったなそういや
2014-06-26,02:25:01,900,"うわぁ…
ナイジェリア代表のババトゥンデの右腕
あれどえらいことなっとぅんで。
まじで"
2014-06-26,02:24:46,900,ナイジェリア代表ババトゥンデ、味方の選手のシュートで骨折したってよ
2014-06-26,02:22:33,900,ナイジェリア代表GKエニェアマとアルゼンチン代表メッシの試合中にイチャイチャする瞬間であるｗ http://t.co/AlNTC5uPol
2014-06-26,02:19:27,900,"ナイジェリア代表
マルティンスとヌワンコカヌーどこー？"
2014-06-26,02:18:52,900,"【後半14分経過】
2014 FIFA World Cup : Group F
ナイジェリア代表 2 - 3 アルゼンチン代表
ボスニア・ヘルツェゴビナ代表 2 - 0 イラン代表
#NGA #ARG #NGAARG #BIH #IRN #BIHIRN #WorldCup"
2014-06-26,02:18:31,900,ナイジェリア代表のプレー…荒さがあるけど、速さ･瞬発力･ボディバランス･スタミナは恐ろしいｗ;
2014-06-26,02:14:42,900,ナイジェリア代表イグアイン
2014-06-26,02:14:02,900,速報 メッシ前半だけで2得点: * * ナイジェリア代表ＦＷエメニケ（左）とアルゼンチン代表ＦＷメッシ＝ゲッティ(毎日新聞) グループF第3節 ナイジェリア vs. アルゼンチン(スポーツナビ)... http://t.co/NN1Y8k4qGn
2014-06-26,02:10:26,900,ムサはＣＳＫＡに本田いたときはＪスポーツで早い時間（ロシアだし）に生中継あったんでよくみて、身体能力が半端なかったが、やっぱりナイジェリア代表でも半端ないんだなｗ
2014-06-26,02:10:01,900,"【後半5分経過】
2014 FIFA World Cup : Group F
ナイジェリア代表 2 - 3 アルゼンチン代表
ボスニア・ヘルツェゴビナ代表 1 - 0 イラン代表
#NGA #ARG #NGAARG #BIH #IRN #BIHIRN #WorldCup"
2014-06-26,02:09:47,900,"アルゼンチン再び勝ち越し。
予想通りの撃ち合い（笑）
#W杯 #アルゼンチン代表 #ナイジェリア代表"
2014-06-26,02:08:22,900,アメリカのナイジェリアとアルゼンチン戦の解説はエファン・エコク。元ナイジェリア代表。日本代表戦でも解説をしていたけれど、物凄く綺麗な英語で落ち着いて冷静に分析する。うちの夫も綺麗過ぎる位の英語だな！という位。でも今日はちょっとだけテンション高い。
2014-06-26,02:08:12,900,"ナイジェリア代表の２点目、ムサのゴール動画
https://t.co/XPHBsWgPR6"
2014-06-26,02:07:59,900,"僕が各国代表選手の中で一番好きな選手を呟いているうちに同点！！
同点弾を決めたムサはナイジェリア代表選手の中なら一番の推し"
2014-06-26,02:07:17,900,"【後半2分経過】
2014 FIFA World Cup : Group F
ナイジェリア代表 2 - 2 アルゼンチン代表
ボスニア・ヘルツェゴビナ代表 1 - 0 イラン代表
#NGA #ARG #NGAARG #BIH #IRN #BIHIRN #WorldCup"
2014-06-26,02:07:12,900,"ナイジェリア再び追い付いたーーーー
#W杯 #ナイジェリア代表 #アルゼンチン代表"
2014-06-26,02:06:55,900,ナイジェリア代表 同点 ムサ ゴール 2対2
2014-06-26,02:06:48,900,"ナイジェリア代表
ムサのゴールで同点ーーーーーーーーー！！！！！！
#NGA #ARG #NGAARG #WorldCup"
2014-06-26,02:04:31,900,"【2014 FIFA World Cup】Group F
「ナイジェリア代表 1 - 2 アルゼンチン代表」
後半戦キックオフ！
#NGA #ARG #NGAARG #WorldCup"
2014-06-26,02:04:03,900,モーゼスってナイジェリア代表で控えなのかな。オデムウィンギーとムサは見たことあるから分かるけど、ババトゥンデって誰や。
2014-06-26,02:02:18,900,ナイジェリア代表ミケル≠チェルシーのミケル
2014-06-26,01:50:15,900,"H.T アルゼンチン代表 2-1 ナイジェリア代表
フリーキックも決まって絶好調だね（≧∇≦）とまらんなぁw
#worldcup2014"
2014-06-26,01:49:06,900,まぁ、悪くない。最後フリーキックはもつぅたいなかったけど、守備も安定してるし、裏のボスニアもリードしてるから思い切ったプレーを続けていけば負けてないぞナイジェリア代表！
2014-06-26,01:49:02,900,"メッシきたーーーー
アルゼンチン勝ち越し。
#W杯 #アルゼンチン代表 #ナイジェリア代表"
2014-06-26,01:48:41,900,前半終了 W杯ブラジル大会 1次リーグ グループF アルゼンチン代表対ナイジェリア代表 2対1 アルゼンチン代表 リード
2014-06-26,01:48:27,900,"【前半終了】
2014 FIFA World Cup : Group F
ナイジェリア代表 1 - 2 アルゼンチン代表
ボスニア・ヘルツェゴビナ代表 1 - 0 イラン代表
#NGA #ARG #NGAARG #BIH #IRN #BIHIRN #WorldCup"
2014-06-26,01:47:41,900,"【前半終了】
2014 FIFA World Cup : Group F
ナイジェリア代表 1 - 2 アルゼンチン代表
#NGA #ARG #NGAARG #WorldCup"
